,Cornstover,Sugarcane,Sorghum ,Other
Nutrient replacement [$/acre],,,,
Nitrogen ,4.91,,,
Phosphorus,1.1,,,
Potassium,8.87,,,
Lime,0,,,
Other,0,,,
Subtotal,14.88,,,
Farmer payment [$/dryton],,,,
Subtotal,23.54,,,
Logistics and Preprocessing,,,,
Harvesting [$/acre],,,,
Mowing/conditioning,14.91,,,
Raking,4.73,,,
Bailing,26.1,,,
Staging and loading,14.61,,,
Storage (floor construction),7.75,,,
Interest,1.04,,,
Subtotal,69.14,,,
Preprocessing [$/dryton],,,,
Subtotal,22.4,,,
Transportation [$/dryton],,,,
Subtotal,13.23,,,
Dockage [$/dryton],,,,
Subtotal,1.27,,,
